log_time_ns,_full_text,_type,theta,x,y
1714839290063180424,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004870957200102855,-0.05684220790863037,-1.2199983596801758
1714839290066570213,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004876107151765199,-0.056841373443603516,-1.2200020551681519
1714839290072903874,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004882657742499959,-0.05682337284088135,-1.2200191020965576
1714839290074818835,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004863039387857726,-0.056863486766815186,-1.2199888229370117
1714839290079154848,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004878721785237531,-0.05682855844497681,-1.2200098037719727
1714839290084871144,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004881027137424805,-0.0568232536315918,-1.2200090885162354
1714839290089204120,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048773392104328505,-0.05684322118759155,-1.219995379447937
1714839290091181802,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004876731065856709,-0.05684167146682739,-1.2200031280517578
1714839290096016710,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004870646269731931,-0.05684942007064819,-1.2199970483779907
1714839290099511931,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.0048788421962532155,-0.05684340000152588,-1.22000253200531
1714839290103644954,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004872342070950703,-0.056837379932403564,-1.2200002670288086
1714839290107923636,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004874097801583438,-0.056840717792510986,-1.2199982404708862
1714839290111864781,"# geometry_msgs/Pose2D
float64 x
float64 y
float64 theta",geometry_msgs/Pose2D,0.004882461461873135,-0.05682343244552612,-1.2200114727020264
